,0,1,2,3,4,5,6,7,8,9
599,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997)
600,Fargo (1996),Contact (1997),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997)
601,"English Patient, The (1996)",Toy Story (1995),Air Force One (1997),Twelve Monkeys (1995),Titanic (1997),Jerry Maguire (1996),"Rock, The (1996)","Fugitive, The (1993)","Full Monty, The (1997)",L.A. Confidential (1997)
602,Fargo (1996),Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997)
603,Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Air Force One (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)","Fugitive, The (1993)"
604,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)",Toy Story (1995),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997)
605,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),"Princess Bride, The (1987)",Back to the Future (1985),Star Trek: First Contact (1996)
606,"English Patient, The (1996)",Air Force One (1997),Schindler's List (1993),"Full Monty, The (1997)",L.A. Confidential (1997),Dead Man Walking (1995),One Flew Over the Cuckoo's Nest (1975),Leaving Las Vegas (1995),Sense and Sensibility (1995),Conspiracy Theory (1997)
607,Star Wars (1977),Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)"
608,Return of the Jedi (1983),Contact (1997),Toy Story (1995),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)","Princess Bride, The (1987)",Star Trek: First Contact (1996)
609,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
610,Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)",Air Force One (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Princess Bride, The (1987)",Star Trek: First Contact (1996)
611,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
612,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997)
613,Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997)
614,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Titanic (1997)
615,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
616,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997)
617,Star Wars (1977),Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Air Force One (1997),"Empire Strikes Back, The (1980)",Independence Day (ID4) (1996),Jerry Maguire (1996)
618,Contact (1997),"English Patient, The (1996)",Air Force One (1997),Liar Liar (1997),Star Trek: First Contact (1996),"Full Monty, The (1997)",L.A. Confidential (1997),Mission: Impossible (1996),Blade Runner (1982),Men in Black (1997)
619,Fargo (1996),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)","Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Jerry Maguire (1996),"Princess Bride, The (1987)",Back to the Future (1985),Star Trek: First Contact (1996)
620,Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Pulp Fiction (1994),"Rock, The (1996)","Fugitive, The (1993)",Back to the Future (1985),Star Trek: First Contact (1996),Schindler's List (1993),Indiana Jones and the Last Crusade (1989)
621,Contact (1997),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Liar Liar (1997),Jerry Maguire (1996),Back to the Future (1985),Schindler's List (1993)
622,Contact (1997),"English Patient, The (1996)",Scream (1996),Air Force One (1997),Titanic (1997),Jerry Maguire (1996),Schindler's List (1993),"Full Monty, The (1997)",L.A. Confidential (1997),Willy Wonka and the Chocolate Factory (1971)
623,Fargo (1996),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997)
624,Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)","Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985),Star Trek: First Contact (1996),Schindler's List (1993),Indiana Jones and the Last Crusade (1989)
625,"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Twelve Monkeys (1995),Titanic (1997),Jerry Maguire (1996),"Rock, The (1996)","Fugitive, The (1993)"
626,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
627,Star Wars (1977),Return of the Jedi (1983),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Liar Liar (1997),Titanic (1997),"Princess Bride, The (1987)",Back to the Future (1985)
628,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
629,Return of the Jedi (1983),Toy Story (1995),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Fugitive, The (1993)",Star Trek: First Contact (1996),Schindler's List (1993),Monty Python and the Holy Grail (1974),L.A. Confidential (1997)
630,"English Patient, The (1996)",Pulp Fiction (1994),Titanic (1997),"Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985),Schindler's List (1993),Indiana Jones and the Last Crusade (1989),Monty Python and the Holy Grail (1974),"Full Monty, The (1997)"
631,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997)
632,"Godfather, The (1972)","English Patient, The (1996)",Air Force One (1997),Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996),"Rock, The (1996)",Star Trek: First Contact (1996),"Full Monty, The (1997)",L.A. Confidential (1997)
633,Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997)
634,Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)","Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985),Schindler's List (1993),Indiana Jones and the Last Crusade (1989)
635,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994)
636,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
637,Contact (1997),Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Titanic (1997),"Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985)
638,Contact (1997),"English Patient, The (1996)",Toy Story (1995),Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Jerry Maguire (1996)
639,Star Wars (1977),Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)",Toy Story (1995),Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995)
640,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997)
641,Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997)
642,Fargo (1996),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Air Force One (1997),Twelve Monkeys (1995),"Fugitive, The (1993)",Star Trek: First Contact (1996),"Full Monty, The (1997)",L.A. Confidential (1997)
643,Contact (1997),"English Patient, The (1996)",Air Force One (1997),Liar Liar (1997),Titanic (1997),Jerry Maguire (1996),Star Trek: First Contact (1996),Schindler's List (1993),"Shawshank Redemption, The (1994)","Full Monty, The (1997)"
644,Raiders of the Lost Ark (1981),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),"Fugitive, The (1993)"
645,Fargo (1996),"Godfather, The (1972)",Toy Story (1995),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)"
646,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
647,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994)
648,Fargo (1996),Contact (1997),Air Force One (1997),Titanic (1997),Jerry Maguire (1996),"Shawshank Redemption, The (1994)","Full Monty, The (1997)",L.A. Confidential (1997),"Usual Suspects, The (1995)",Men in Black (1997)
649,Fargo (1996),Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997)
650,Air Force One (1997),Jerry Maguire (1996),Schindler's List (1993),"Shawshank Redemption, The (1994)",L.A. Confidential (1997),"Usual Suspects, The (1995)",Dead Man Walking (1995),Mission: Impossible (1996),Leaving Las Vegas (1995),Apollo 13 (1995)
651,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997)
652,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
653,Scream (1996),"Princess Bride, The (1987)","Full Monty, The (1997)",L.A. Confidential (1997),"Usual Suspects, The (1995)",Dead Man Walking (1995),Leaving Las Vegas (1995),Casablanca (1942),Sense and Sensibility (1995),"Birdcage, The (1996)"
654,"Godfather, The (1972)","English Patient, The (1996)",Twelve Monkeys (1995),"Shawshank Redemption, The (1994)",Terminator 2: Judgment Day (1991),Alien (1979),Dead Man Walking (1995),Amadeus (1984),Blade Runner (1982),One Flew Over the Cuckoo's Nest (1975)
655,"Princess Bride, The (1987)",Monty Python and the Holy Grail (1974),Willy Wonka and the Chocolate Factory (1971),"Saint, The (1997)","Sting, The (1973)",It's a Wonderful Life (1946),Apocalypse Now (1979),Aladdin (1992),"Lion King, The (1994)",Broken Arrow (1996)
656,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994)
657,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Titanic (1997)
658,Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996)
659,Fargo (1996),"English Patient, The (1996)",Toy Story (1995),Scream (1996),Air Force One (1997),Jerry Maguire (1996),"Rock, The (1996)",Star Trek: First Contact (1996),Schindler's List (1993),Monty Python and the Holy Grail (1974)
660,Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Air Force One (1997),Jerry Maguire (1996),Forrest Gump (1994),"Full Monty, The (1997)",L.A. Confidential (1997),"Usual Suspects, The (1995)"
661,Fargo (1996),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Twelve Monkeys (1995),"Full Monty, The (1997)",L.A. Confidential (1997),Braveheart (1995)
662,Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
663,"Empire Strikes Back, The (1980)","Fugitive, The (1993)",Back to the Future (1985),Star Trek: First Contact (1996),Monty Python and the Holy Grail (1974),"Full Monty, The (1997)",L.A. Confidential (1997),Braveheart (1995),"Terminator, The (1984)",E.T. the Extra-Terrestrial (1982)
664,Return of the Jedi (1983),Contact (1997),Scream (1996),Air Force One (1997),Liar Liar (1997),Titanic (1997),"Rock, The (1996)",Back to the Future (1985),"Full Monty, The (1997)","Terminator, The (1984)"
665,Contact (1997),Raiders of the Lost Ark (1981),Scream (1996),Air Force One (1997),"Princess Bride, The (1987)",Back to the Future (1985),Schindler's List (1993),Monty Python and the Holy Grail (1974),"Shawshank Redemption, The (1994)","Full Monty, The (1997)"
666,Toy Story (1995),Titanic (1997),"Rock, The (1996)",Braveheart (1995),Dead Man Walking (1995),Mr. Holland's Opus (1995),Leaving Las Vegas (1995),Sense and Sensibility (1995),Conspiracy Theory (1997),"Saint, The (1997)"
667,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Scream (1996),Pulp Fiction (1994)
668,Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997)
669,Fargo (1996),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Liar Liar (1997),Jerry Maguire (1996),"Princess Bride, The (1987)",Back to the Future (1985),Schindler's List (1993),Indiana Jones and the Last Crusade (1989)
670,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Scream (1996),Pulp Fiction (1994),Air Force One (1997)
671,Fargo (1996),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Air Force One (1997),Liar Liar (1997),Titanic (1997),"Princess Bride, The (1987)",Schindler's List (1993),Monty Python and the Holy Grail (1974)
